John Tree Names,Gender,Languages,Form,Parent Name,Level
Janete,F,Portuguese,Variant,Janet,9

Janeth,F,Eastern African,Variant,Janet,9

Janeth,F,Spanish (Latin),Variant,Janet,9

Janetta,F,English,Elaboration,Janet,9

Netta,F,English,Diminutive,Janetta,10

Janette,F,English,Variant,Janet,9

Jannette,F,English,Variant,Janet,9

Seonaid,F,Scottish,Variant,Janet,9

Seona,F,Scottish,Anglicization,Seonaid,10

Sheona,F,Scottish,Anglicization,Seonaid,10

Shona,F,Scottish,Anglicization,Seonaid,10

Sioned,F,Welsh,Variant,Janet,9

Yaneth,F,Spanish (Latin),Variant,Janet,9

Janey,F,English,Diminutive,Jane,8

Janice,F,English,Elaboration,Jane,8

Jan,F,English,Diminutive,Janice,9

Janis,F,English,Variant,Janice,9

Janie,F,English,Diminutive,Jane,8

Jayna,F,English,Elaboration,Jane,8

Jayne,F,English,Variant,Jane,8

Jaynie,F,English,Diminutive,Jayne,9

Jennie,F,English,Diminutive,Jane,8

Jennie,F,Swedish,Diminutive,Jane,8

Jenny,F,English,Diminutive,Jane,8

Jeni,F,English,Variant,Jenny,9

Jenna,F,English,Variant,Jenny,9

Jenna,F,Finnish,Variant,Jenny,9

Jenna,F,French,Variant,Jenny,9

Jennah,F,French,Variant,Jenna,10

Jenni,F,English,Variant,Jenny,9

Jenni,F,Finnish,Variant,Jenny,9

Jenny,F,Dutch,Diminutive,Jane,8

Jenny,F,Finnish,Diminutive,Jane,8

Jenny,F,French,Diminutive,Jane,8

Jenny,F,German,Diminutive,Jane,8

Jenny,F,Norwegian,Diminutive,Jane,8

Jenny,F,Spanish,Diminutive,Jane,8

Jenny,F,Swedish,Diminutive,Jane,8

Jenny,F,Icelandic,Diminutive,Jane,8

Yenny,F,Spanish (Latin),Diminutive,Jane,8

Jean,F,English,Variant,Jehanne,7

Jeana,F,English,Variant,Jean,8

Jeane,F,English,Variant,Jean,8

Jeanie,F,English,Diminutive,Jean,8

Jeanna,F,English,Variant,Jean,8

Jean,F,Scottish,Variant,Jehanne,8

Jessie,F,Scottish,Diminutive,Jean,9

Jessie,F,English,Diminutive,Jean,9

Jessi,F,English,Variant,Jessie,10

Jessy,F,English,Variant,Jessie,10

Jessy,F,French,Variant,Jessie,10

Jessye,F,English,Variant,Jessie,10

Teasag,F,Scottish,Variant,Jessie,10

Jeanne,F,French,Variant,Jehanne,8

Jeannette,F,French,Diminutive,Jeanne,9

Jeanette,F,Danish,Variant,Jeannette,10

Jeanette,F,French,Variant,Jeannette,10

Jeanette,F,Norwegian,Variant,Jeannette,10

Jeanette,F,Swedish,Variant,Jeannette,10

Sinead,F,Irish,Variant,Jeannette,10

Zaneta,F,Czech,Variant,Jeannette,10

Zaneta,F,Lithuanian,Variant,Jeannette,10

Zaneta,F,Slovak,Variant,Jeannette,10

Zaneta,F,Polish,Variant,Jeannette,10

Zsanett,F,Hungarian,Variant,Jeannette,10

Jeannette,F,Dutch,Diminutive,Jeanne,9

Jeanette,F,Dutch,Variant,Jeannette,10

Jeannette,F,English,Diminutive,Jeanne,9

Genette,F,English,Variant,Jeannette,10

Jeanette,F,English,Variant,Jeannette,10

Nettie,F,English,Diminutive,Jeanette,11

Jeanne,F,English,Variant,Jehanne,8

Jeannie,F,English,Diminutive,Jeanne,9

Jeannine,F,French,Diminutive,Jeanne,9

Janine,F,French,Variant,Jeannine,10

Janine,F,Dutch,Variant,Jeannine,10

Janine,F,German,Variant,Jeannine,10

Jeanine,F,French,Variant,Jeannine,10

Jeanine,F,Dutch,Variant,Jeannine,10

Jeannine,F,English,Diminutive,Jeanne,9

Janine,F,English,Variant,Jeannine,10

Janene,F,English,Variant,Janine,11

Jannine,F,English,Variant,Janine,11

Jeanine,F,English,Variant,Jeannine,10

Sine,F,Irish,Variant,Jeanne,9

Sine,F,Scottish,Variant,Jeanne,9

Sheena,F,English,Anglicization,Sine,10

Shena,F,English,Variant,Sheena,11

Sheena,F,Scottish,Anglicization,Sine,10

Sheenagh,F,Scottish,Variant,Sheena,11

Sineag,F,Scottish,Diminutive,Sine,10

Zanna,F,Latvian,Variant,Jeanne,9

Zhanna,F,Belarusian,Variant,Jeanne,9

Zhanna,F,Russian,Variant,Jeanne,9

Zhannochka,F,Russian,Diminutive,Zhanna,10

Zhanna,F,Ukrainian,Variant,Jeanne,9

Sian,F,Welsh,Variant,Jehanne,7

Shan,F,Welsh,Anglicization,Sian,8

Siana,F,Welsh,Diminutive,Sian,8

Siani,F,Welsh,Diminutive,Sian,8

Siobhan,F,Irish,Variant,Jehanne,7

Chevonne,F,English,Anglicization,Siobhan,8

Shavon,F,English,Anglicization,Siobhan,8

Shavonne,F,English,Anglicization,Siobhan,8

Shevaun,F,English,Anglicization,Siobhan,8

Shevon,F,English,Anglicization,Siobhan,8

Jin,M,Picard,Variant,Jehan,6

Sean,M,Irish,Variant,Jehan,6

Sean,M,English,Anglicization,Sean,7

Seanna,F,English,Variant,Sean,8

Sean,M,Irish,Anglicization,Sean,7

Shane,M,English,Anglicization,Sean,7

Shayne,M,English,Variant,Shane,8

Shane,M,Irish,Anglicization,Sean,7

Shaun,M,English,Anglicization,Sean,7

Shauna,F,English,Variant,Shaun,8

Shawn,M,English,Anglicization,Sean,7

Shawn,F,English,Anglicization,Sean,7

Shawna,F,English,Variant,Shawn,8

Shon,M,English,Anglicization,Sean,7

Jens,M,Danish,Full,Iohannes,5

Jensen,M,English,Surname,Jens,6

Jenson,M,English,Variant,Jensen,7

Jens,M,German,Full,Iohannes,5

Jens,M,Icelandic,Full,Iohannes,5

Jens,M,Norwegian,Full,Iohannes,5

Jens,M,Swedish,Full,Iohannes,5

Joan,M,Catalan,Full,Iohannes,5

Joan,M,Occitan,Full,Iohannes,5

Joannes,M,Faroese,Full,Iohannes,5

Joao,M,Portuguese,Full,Iohannes,5

