John Tree Names,Gender,Languages,Form,Parent Name,Level
Jone,M,Fijian,Variant,John,7

Joni,M,Finnish,Variant,John,7

Joni,M,Georgian,Variant,John,7

Keoni,M,Hawaiian,Variant,John,7

Sion,M,Welsh,Variant,John,7

John,M,Danish,Full,Iohannes,5

John,M,Dutch,Full,Iohannes,5

John,M,Norwegian,Full,Iohannes,5

John,M,Swedish,Full,Iohannes,5

Jon,M,Faroese,Full,Iohannes,5

Jona,F,Faroese,Variant,Jon,6

Jon,M,Icelandic,Full,Iohannes,5

Jona,F,Icelandic,Variant,Jon,6

Jonina,F,Icelandic,Variant,Jon,6

Jon,M,Basque,Full,Iohannes,5

Jon,M,Danish,Full,Iohannes,5

Jon,M,Medieval English,Full,Iohannes,5

Jones,M,English,Surname,Jon,6

Jon,M,Norwegian,Full,Iohannes,5

Jone,M,Norwegian,Variant,Jon,6

Jon,M,Swedish,Full,Iohannes,5

Joni,M,Finnish,Variant,Jon,6

Jonas,M,Lithuanian,Full,Iohannes,5

Jouni,M,Finnish,Full,Iohannes,5

Jowan,M,Cornish,Full,Iohannes,5

Juan,M,Manx,Full,Iohannes,5

Juan,M,Spanish,Full,Iohannes,5

Juancho,M,Spanish,Diminutive,Juan,6

Juanito,M,Spanish,Diminutive,Juan,6

Juantxo,M,Basque,Diminutive,Juan,6

Ruan,M,Portuguese,Variant,Juan,6

Juhan,M,Estonian,Full,Iohannes,5

Juhana,M,Finnish,Full,Iohannes,5

Jussi,M,Finnish,Diminutive,Juhana,6

Juhani,M,Finnish,Full,Iohannes,5

Juha,M,Finnish,Diminutive,Juhani,6

Jussi,M,Finnish,Diminutive,Juha,7

Juhan,M,Sami,Variant,Juhani,6

Juho,M,Finnish,Diminutive,Juhani,6

Jussi,M,Finnish,Diminutive,Juho,7

Jussi,M,Finnish,Diminutive,Juhani,6

Sione,M,Samoan,Full,Iohannes,5

Sione,M,Tongan,Full,Iohannes,5

Xan,M,Galician,Full,Iohannes,5

Xoan,M,Galician,Full,Iohannes,5

Xoana,F,Galician,Variant,Xoan,6

Xuan,M,Asturian,Full,Iohannes,5

Yann,M,Breton,Full,Iohannes,5

Yanick,M,Breton,Diminutive,Yann,6

Yannic,M,Breton,Diminutive,Yann,6

Yannick,M,Breton,Diminutive,Yann,6

Yannig,M,Breton,Diminutive,Yann,6

Yann,M,French,Full,Iohannes,5

Yan,M,French,Variant,Yann,6

Yanis,M,French,Diminutive,Yann,6

Yanick,M,French,Diminutive,Yann,6

Yannick,M,French,Diminutive,Yann,6

Yohana,M,Swahili,Full,Iohannes,5

Yohanes,M,Indonesian,Full,Iohannes,5

Ivane,M,Georgian,Full,Ioannes,4

Vano,M,Georgian,Diminutive,Ivane,5

Yohannes,M,Amharic,Full,Ioannes,4

Yuhanna,M,Arabic,Full,Ioannes,4

Johanan,M,Hebrew,Full,Yochanan,3

Ohannes,M,Armenian,Full,Yochanan,3

Yahya,M,Arabic,Full,Yochanan,3

Yahaya,M,Hausa,Variant,Yahya,4

Yahaya,M,Malay,Variant,Yahya,4

Yahia,M,Arabic,Variant,Yahya,4

Yahya,M,Indonesian,Full,Yochanan,3

Yahya,M,Malay,Full,Yochanan,3

Yahya,M,Persian,Full,Yochanan,3

Yahya,M,Quranic,Full,Yochanan,3

Yahya,M,Turkish,Full,Yochanan,3

Yachna,F,Hebrew,Variant,Yochanan,3
