Name,Sex,Count,Year
kandi,f,5547,74
syble,f,5541,84
alianna,f,5538,35
khaleesi,f,5537,15
aminah,f,5536,59
hayleigh,f,5527,40
aislinn,f,5521,52
amaia,f,5499,31
shelbi,f,5496,62
adelle,f,5492,140
judie,f,5491,105
brandee,f,5486,58
heavenly,f,5485,59
alaysia,f,5478,36
cheryle,f,5476,58
oleta,f,5472,91
tayla,f,5467,49
melonie,f,5462,81
zaylee,f,5450,26
neveah,f,5449,25
rona,f,5444,117
savana,f,5436,45
haisley,f,5433,21
jessenia,f,5428,55
nyasia,f,5413,45
hulda,f,5407,81
iyanna,f,5403,49
joellen,f,5399,99
maliah,f,5394,35
dasia,f,5392,44
gisele,f,5391,95
kamiyah,f,5374,31
jayna,f,5370,76
sydni,f,5361,49
audriana,f,5359,41
karie,f,5356,73
kinslee,f,5342,29
jazmyne,f,5339,43
meg,f,5321,81
melia,f,5321,94
kalli,f,5317,67
kalie,f,5313,50
ernestina,f,5309,121
tanesha,f,5307,46
stephani,f,5305,83
charisse,f,5296,72
magaly,f,5288,75
iyana,f,5285,50
khadija,f,5271,61
vina,f,5267,146
bambi,f,5261,74
samiyah,f,5255,39
jerilyn,f,5251,88
elayna,f,5251,62
norine,f,5242,111
chanelle,f,5223,63
jannette,f,5219,110
mariella,f,5213,105
elvera,f,5200,94
louann,f,5197,101
bayleigh,f,5190,37
donita,f,5189,85
sydnie,f,5187,63
jacalyn,f,5185,76
roxane,f,5179,93
yahaira,f,5176,53
delanie,f,5176,68
romona,f,5175,102
breonna,f,5169,48
candis,f,5164,106
salena,f,5163,109
trena,f,5160,84
aubrielle,f,5158,34
kathlyn,f,5156,127
jaci,f,5154,79
isha,f,5151,60
jeanetta,f,5149,118
albertha,f,5145,96
charissa,f,5140,77
dalilah,f,5135,52
nada,f,5129,132
winnifred,f,5127,118
yamilet,f,5121,50
shaniqua,f,5117,39
anastacia,f,5114,118
taniya,f,5101,54
jacquelynn,f,5095,105
marita,f,5088,118
kaylene,f,5070,88
lilyanna,f,5065,35
madisen,f,5064,40
evonne,f,5057,111
kaelynn,f,5052,43
darline,f,5050,114
sapphire,f,5048,47
sarita,f,5046,112
janey,f,5044,125
shreya,f,5037,44
karleigh,f,5032,43
keren,f,5014,83
sherie,f,5010,70
albina,f,5006,130
lanette,f,5005,97
sofie,f,5003,92
madaline,f,4990,134
vilma,f,4989,124
zaira,f,4986,55
leisa,f,4969,61
alethea,f,4968,127
leana,f,4968,140
leilany,f,4966,36
sabra,f,4960,137
persephone,f,4960,60
dori,f,4952,80
caitlynn,f,4947,41
saanvi,f,4945,24
annaliese,f,4944,59
tawnya,f,4943,53
margarett,f,4933,128
lynsey,f,4929,52
alyssia,f,4929,56
